s.no,Text in Punjab,Text in English,Is Correct,"Comment 
(Please add if the translation is not correct)"
11,"ਸਾਰਾ ਮਨੁੱਖੀ ਪਰਿਵਾਰ ਆਪਣੀ ਮਹਿਮਾ, ਸ਼ਾਨ ਅਤੇ ਹੱਕਾਂ ਦੇ ਪੱਖੋਂ ਜਨਮ ਤੋਂ ਹੀ ਆਜ਼ਾਦ ਹੈ ਅਤੇ ਸੁਤੇ ਸਿੱਧ ਸਾਰੇ ਲੋਕ ਬਰਾਬਰ ਹਨ । ਉਨ੍ਹਾਂ ਸਭਨਾ ਨੂੰ ਤਰਕ ਅਤੇ ਜ਼ਮੀਰ ਦੀ ਸੌਗਾਤ ਮਿਲੀ ਹੋਈ ਹੈ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਭਰਾਤਰੀਭਾਵ ਦੀ ਭਾਵਨਾ ਰਖਦਿਆਂ ਆਪਸ ਵਿਚ ਵਿਚਰਣਾ ਚਾਹੀਦਾ ਹੈ ।","
The whole human family is free from birth in terms of its glory, dignity and rights and all people are equal. All of them are gifted with reason and conscience and they should interact with each other with a sense of brotherhood.",FALSE,
12,ਸੰਨ 47 ਦੇ ਰੌਲ਼ਿਆਂ ਵੇਲੇ ਲੱਖਾਂ ਨਿਰਦੋਸ਼ ਲੋਕ ਮੌਤ ਦੇ ਤਾਂਡਵ ਦੀ ਭੇਟਾ ਚੜ੍ਹ ਗਏ ਸਨ,"
During the riots of 1947, lakhs of innocent people were put to death",FALSE,
13,"ਅੱਜ ਭਾਰਤ ਦੀ ਜਿਹੜੀ ਆਜ਼ਾਦ ਫ਼ਿਜ਼ਾ ’ਚ ਅਸੀਂ ਵਿਚਰ ਰਹੇ ਹਾਂ, ਉਹ ਆਜ਼ਾਦੀ ਦੇ ਉਨ੍ਹਾਂ ਲੱਖਾਂ ਪਰਵਾਨਿਆਂ ਸਦਕਾ ਹੈ ਜਿਨ੍ਹਾਂ ਦੇਸ਼ ਲਈ ਬਿਨਾਂ ਕਿਸੇ ਸਵਾਰਥ ਦੇ ਹੱਸਦੇ-ਹੱਸਦੇ ਸ਼ਹਾਦਤਾਂ ਪਾਈਆਂ ਸਨ। ਉਨ੍ਹਾਂ ’ਚੋਂ ਬਹੁਤੇ ਅਜਿਹੇ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਨਾਂ ਤਕ ਅੱਜ ਕੋਈ ਨਹੀਂ ਜਾਣਦਾ। ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਨੂੰ ਸਾਡਾ ਕੋਟਿ-ਕੋਟਿ ਪ੍ਰਣਾਮ। ਪੂਰੇ 76 ਵਰ੍ਹੇ ਪਹਿਲਾਂ ਸਮੂਹ ਭਾਰਤੀਆਂ ਦੇ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸੰਘਰਸ਼ਾਂ ਤੋਂ ਬਾਅਦ ਦੇਸ਼ ਆਜ਼ਾਦ ਹੋਇਆ ਸੀ। ਦੇਸ਼ ਪਹਿਲਾਂ ਮੁਗ਼ਲਾਂ ਅਧੀਨ ਰਿਹਾ ਤੇ ਫਿਰ ਇਸ ’ਤੇ ਇੰਗਲੈਂਡ ਦੀ ਈਸਟ ਇੰਡੀਆ ਕੰਪਨੀ ਦਾ ਕਬਜ਼ਾ ਹੋ ਗਿਆ।","The freedom we are living in India today is due to those millions of freedom fighters who sacrificed their lives for the country without any selfishness. Most of them are those whose names no one knows today. Our humble bow to all of them. 76 years ago, the country became independent after a lot of struggle by all Indians. The country was first under the Mughals and then it was occupied by the East India Company of England.",FALSE,
14,ਇਹ ਸਹੀ ਹੈ ਕਿ ਮੋਦੀ ਸਰਕਾਰ ਦੇ ਸੱਤਾ ’ਚ ਆਉਣ ਤੋਂ ਬਾਅਦ ਉੱਚ ਪੱਧਰ ’ਤੇ ਚੱਲੇ ਆ ਰਹੇ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ’ਤੇ ਕਾਫ਼ੀ ਹੱਦ ਤੱਕ ਲਗਾਮ ਲੱਗੀ ਹੈ ਪਰ ਹੇਠਲੇ ਪੱਧਰ ’ਤੇ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਦੀ ਹਾਲਤ ਪਹਿਲਾਂ ਵਰਗੀ ਹੀ ਹੈ ਤੇ ਉਸ ਤੋਂ ਆਮ ਜਨਤਾ ਡਾਢੀ ਦੁਖੀ ਹੈ। ਸਪੱਸ਼ਟ ਹੈ ਕਿ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੁੱਧ ਲੜੀ ਜਾ ਰਹੀ ਜੰਗ ਨੂੰ ਹਾਲੇ ਹੋਰ ਅਗਾਂਹ ਤੱਕ ਲਿਜਾਣ ਦੀ ਜ਼ਰੂਰਤ ਹੈ। ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਦੇ ਕਈ ਰੂਪ ਹਨ।,"It is true that after the Modi government came to power, the corruption going on at the highest level has been curbed to a large extent, but the condition of corruption at the lower level is the same as before and the common people are suffering from it. It is clear that the war against corruption needs to be taken further. Corruption has many forms.",FALSE,
15,"ਸਾਡੇ ਦੇਸ਼ ਆਜ਼ਾਦ ਹੋਏ ਨੂੰ ਅੱਧੀ ਸਦੀ ਤੋਂ ਜ਼ਿਆਦਾ ਸਮਾਂ ਹੋ ਗਿਆ ਹੈ ਪਰ ਦੇਸ਼ ਦੇ ਹਾਲਾਤਾਂ ’ਚ ਜ਼ਿਆਦਾ ਸੁਧਾਰ ਨਹੀਂ ਹੋਇਆ। ਸਾਡੇ ਦੇਸ਼ ਤੋਂ ਬਾਅਦ ਕਈ ਦੇਸ਼ ਆਜ਼ਾਦ ਹੋਏ, ਜੋ ਸਾਡੇ ਦੇਸ਼ ਨਾਲੋਂ ਆਰਥਿਕ ਦਸ਼ਾ ’ਚ ਕਾਫ਼ੀ ਅੱਗੇ ਲੰਘ ਗਏ ਹਨ।
","It has been more than half a century since our country became independent, but the conditions of the country have not improved much. Many countries became independent after our country, which have gone much further than our country in terms of economy.",FALSE,
16,"ਚਰਿੱਤਰ 'ਤੇ ਸ਼ੱਕ ਕਾਰਨ ਪਤੀ ਤੇ ਜੇਠ ਨੇ ਕੀਤੀ ਗਰਭਵਤੀ ਦੀ ਹੱਤਿਆ, ਪੁਲਿਸ ਨੇ ਰੱਤਾ ਟਿੱਬਾ 'ਚ ਔਰਤ ਦੇ ਕਤਲ ਦੀ ਗੁੱਥੀ ਸੁਲਝਾਈ","Husband and Jeth killed a pregnant woman due to suspicion of her character, police solved the mystery of woman's murder in Ratta Tibba",FALSE,
17,"ਕ੍ਰਿਕਟ ਦੇ ਮੈਦਾਨ 'ਤੇ ਜਦੋਂ ਪਹਿਲੀ ਵਾਰ IND vs PAK ਦੀ ਹੋਈ ਟੱਕਰ, ਸਿਆਸੀ ਦਿੱਗਜ ਵੀ ਸਨ ਮੌਜੂਦ, ਪ੍ਰਸ਼ੰਸਕਾਂ ਦਾ ਆਇਆ ਹੜ੍ਹ","When IND vs PAK clashed for the first time on the cricket ground, political giants were also present, a flood of fans came
",FALSE,
18,"ਭਾਰਤ ਅਤੇ ਪਾਕਿਸਤਾਨ ਵਿਚਾਲੇ ਪਹਿਲਾ ਮੁਕਾਬਲਾ 1952-53 ਵਿੱਚ ਹੋਇਆ ਸੀ। ਇਸ ਮਹਾਨ ਮੁਕਾਬਲੇ ਨੂੰ ਲੈ ਕੇ ਅੱਜ ਜੋ ਮਾਹੌਲ ਬਣਾਇਆ ਜਾ ਰਿਹਾ ਹੈ, ਉਹ ਵੀ ਕਰੀਬ 71 ਸਾਲ ਪਹਿਲਾਂ ਬਣਿਆ ਸੀ। ਦੋਵਾਂ ਦੇਸ਼ਾਂ ਵਿਚਾਲੇ ਖੇਡੀ ਗਈ ਪਹਿਲੀ ਟੈਸਟ ਸੀਰੀਜ਼ ਨੂੰ ਦੇਖਣ ਲਈ ਪ੍ਰਸ਼ੰਸਕ ਵੱਡੀ ਗਿਣਤੀ 'ਚ ਇਕੱਠੇ ਹੋਏ ਸਨ। ਇਸ ਮੈਚ 'ਚ ਸਿਆਸਤ ਦੇ ਵੱਡੇ-ਵੱਡੇ ਦਿੱਗਜ ਆਪਣੀ ਹਾਜ਼ਰੀ ਦਰਜ ਕਰਵਾਉਣ ਪਹੁੰਚੇ ਸਨ।","The first match between India and Pakistan took place in 1952-53. The atmosphere that is being created today regarding this great competition was also created about 71 years ago. Fans gathered in large numbers to watch the first Test series played between the two countries. In this match, the big stalwarts of politics came to register their presence.",FALSE,
19,ਇਸਾਈ ਭਾਈਚਾਰੇ ਦੀਆਂ ਧਾਰਮਿਕ ਭਾਵਨਾਵਾਂ ਨੂੰ ਠੇਸ ਪਹੁੰਚਾਏ ਜਾਣ ਦੇ ਇਲਜਾਮ ’ਚ ਗਾਇਕ ਸਿੰਗਾ ਖ਼ਿਲਾਫ਼ ਮਾਮਲਾ ਦਰਜ,A case has been registered against singer Singa for allegedly hurting the religious sentiments of the Christian community,FALSE,
20,ਸੰਸਦ ਦਾ ਮੌਨਸੂਨ ਇਜਲਾਸ ਆਰੰਭ ਹੁੰਦੇ ਹੀ ਇਸ ਦੇ ਸੰਕੇਤ ਮਿਲਣ ਲੱਗੇ ਸਨ ਕਿ ਪਿਛਲੇ ਕਈ ਇਜਲਾਸਾਂ ਦੀ ਤਰ੍ਹਾਂ ਵਿਰੋਧੀ ਪਾਰਟੀਆਂ ਇਸ ਵਾਰ ਵੀ ਸਦਨ ਚੱਲਣ ਨਹੀਂ ਦੇਣਗੀਆਂ। ਅਖ਼ੀਰ ਅਜਿਹਾ ਹੀ ਹੋਇਆ। ਮਨੀਪੁਰ ਦੀ ਨਸਲੀ ਹਿੰਸਾ ਨੂੰ ਸੰਸਦ ਵਿਚ ਅੜਿੱਕੇ ਦਾ ਜ਼ਰੀਆ ਬਣਾਉਣ ਲਈ ਕਾਂਗਰਸ ਅਤੇ ਕੁਝ ਹੋਰ ਪਾਰਟੀਆਂ ਨੇ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਤਿਆਰੀ ਸ਼ੁਰੂ ਕਰ ਦਿੱਤੀ ਸੀ।,"As soon as the Monsoon session of the Parliament started, there were indications that like the previous sessions, the opposition parties will not allow the House to run this time as well. Finally it happened. The Congress and some other parties had already started preparations to make Manipur's ethnic violence a source of obstruction in the Parliament.",FALSE,
21,ਚੰਡੀਗੜ੍ਹ- ਪੰਜਾਬ ਨੂੰ ਖੇਡਾਂ ਦੇ ਖੇਤਰ ਵਿੱਚ ਦੇਸ਼ ਦਾ ਨੰਬਰ ਇਕ ਸੂਬਾ ਬਣਾਉਣ ਅਤੇ ਸੂਬੇ ਵਿੱਚ ਖੇਡ ਸੱਭਿਆਚਾਰ ਪੈਦਾ ਕਰਨ ਲਈ ਮੁੱਖ ਮੰਤਰੀ ਭਗਵੰਤ ਮਾਨ ਦੀ ਅਗਵਾਈ ਵਾਲੀ ਕੈਬਨਿਟ ਵੱਲੋਂ ਪਾਸ ਕੀਤੀ ਨਵੀਂ ਖੇਡ ਨੀਤੀ ਦੇ ਅੱਜ ਵੇਰਵੇ ਜਾਰੀ ਕਰਦਿਆਂ ਖੇਡ ਮੰਤਰੀ ਗੁਰਮੀਤ ਸਿੰਘ ਮੀਤ ਹੇਅਰ ਨੇ ਅੱਜ ਪੰਜਾਬ ਭਵਨ ਵਿਖੇ ਪ੍ਰੈਸ ਕਾਨਫਰੰਸ ਦੌਰਾਨ ਖਿਡਾਰੀਆਂ ਲਈ ਨਵੀਆਂ ਸੌਗਾਤਾਂ ਦਾ ਐਲਾਨ ਕੀਤਾ।,"Chandigarh- In order to make Punjab the number one state of the country in the field of sports and to create a sports culture in the state, Sports Minister Gurmeet Singh Meet Khair today released the details of the new sports policy passed by the Cabinet headed by Chief Minister Bhagwant Mann. During the press conference at the Bhavan, the new deals for the players were announced.",FALSE,
22,"ਇਸ ਵਾਰ ਏਸ਼ੀਆ ਕੱਪ 2023 ਦੀ ਮੇਜ਼ਬਾਨੀ ਪਾਕਿਸਤਾਨ ਅਤੇ ਸ਼੍ਰੀਲੰਕਾ ਸਾਂਝੇ ਤੌਰ 'ਤੇ ਕਰਨਗੇ। ਇਹ ਟੂਰਨਾਮੈਂਟ 30 ਅਗਸਤ ਤੋਂ ਸ਼ੁਰੂ ਹੋਵੇਗਾ। ਏਸ਼ੀਆ ਕੱਪ 'ਚ ਭਾਰਤ, ਪਾਕਿਸਤਾਨ, ਨੇਪਾਲ, ਬੰਗਲਾਦੇਸ਼, ਸ਼੍ਰੀਲੰਕਾ ਅਤੇ ਅਫਗਾਨਿਸਤਾਨ ਦੀਆਂ ਟੀਮਾਂ ਹਿੱਸਾ ਲੈਣਗੀਆਂ। ਟੂਰਨਾਮੈਂਟ ਦੇ ਸਾਰੇ ਮੈਚ ਭਾਰਤੀ ਸਮੇਂ ਮੁਤਾਬਕ ਦੁਪਹਿਰ 3 ਵਜੇ ਸ਼ੁਰੂ ਹੋਣਗੇ। ਇਹ ਟੂਰਨਾਮੈਂਟ ਦੋ ਹਿੱਸਿਆਂ ਵਿੱਚ ਖੇਡਿਆ ਜਾਵੇਗਾ। ਗਰੁੱਪ ਪੜਾਅ ਤੋਂ ਬਾਅਦ ਸੁਪਰ-4 ਰਾਊਂਡ ਹੋਵੇਗਾ।  19 ਦਿਨਾਂ ਵਿੱਚ ਕੁੱਲ 13 ਮੈਚ ਖੇਡੇ ਜਾਣਗੇ। ਪਹਿਲੇ ਮੈਚ ਵਿੱਚ ਪਾਕਿਸਤਾਨ ਦਾ ਸਾਹਮਣਾ ਮੁਲਤਾਨ ਵਿੱਚ ਨੇਪਾਲ ਨਾਲ ਹੋਵੇਗਾ।","This time Asia Cup 2023 will be jointly hosted by Pakistan and Sri Lanka. This tournament will start from August 30. Teams from India, Pakistan, Nepal, Bangladesh, Sri Lanka and Afghanistan will participate in the Asia Cup. All the matches of the tournament will start at 3 PM IST. This tournament will be played in two parts. The group stage will be followed by the Super-4 round. A total of 13 matches will be played in 19 days. In the first match, Pakistan will face Nepal in Multan.",FALSE,
23,ਦੇਸ਼ ਦੇ ਕਈ ਇਲਾਕਿਆਂ 'ਚ ਟਮਾਟਰ ਦੀਆਂ ਕੀਮਤਾਂ ਉੱਚ ਪੱਧਰ 'ਤੇ ਹਨ। ਪ੍ਰਚੂਨ ਬਾਜ਼ਾਰ ਵਿੱਚ ਟਮਾਟਰ 100 ਤੋਂ 160 ਰੁਪਏ ਪ੍ਰਤੀ ਕਿਲੋ ਦੇ ਹਿਸਾਬ ਨਾਲ ਵਿਕ ਰਿਹਾ ਹੈ। ਇਸ ਦੇ ਨਾਲ ਹੀ ਇਹ ਕੀਮਤ ਹੋਰ ਵਧ ਸਕਦੀ ਹੈ।,"Tomato prices are at a high level in many parts of the country. Tomato is selling at Rs 100 to 160 per kg in the retail market. Along with this, this price may increase further.
",FALSE,
24,"ਅੱਜ ਕੱਲ੍ਹ ਹਾਈ ਬਲੱਡ ਪ੍ਰੈਸ਼ਰ, ਸ਼ੂਗਰ, ਮੋਟਾਪਾ, ਭਾਰ ਵਧਣਾ ਅਤੇ ਕੈਂਸਰ ਵਰਗੀਆਂ ਗੰਭੀਰ ਬਿਮਾਰੀਆਂ ਤੇਜ਼ੀ ਨਾਲ ਵੱਧ ਰਹੀਆਂ ਹਨ। ਇਨ੍ਹਾਂ ਬਿਮਾਰੀਆਂ ਦਾ ਕਾਰਨ ਖਰਾਬ ਜੀਵਨ ਸ਼ੈਲੀ ਅਤੇ ਭੋਜਨ ਮੰਨਿਆ ਜਾਂਦਾ ਹੈ।","Nowadays, serious diseases like high blood pressure, diabetes, obesity, weight gain and cancer are increasing rapidly. The cause of these diseases is considered to be bad lifestyle and diet.",FALSE,
25,ਸਕੂਲ ਤੋਂ ਘਰ ਪਰਤ ਰਹੀ ਛੋਟੀ ਬੱਚੀ 'ਤੇ ਗਲੀ 'ਚ ਗਾਂ ਨੇ ਹਮਲਾ ਕਰ ਦਿੱਤਾ। ਇਸ ਦੌਰਾਨ ਲੋਕਾਂ ਨੇ ਪਥਰਾਅ ਕਰਕੇ ਗਾਂ ਨੂੰ ਭਜਾਉਣ ਦੀ ਪੂਰੀ ਕੋਸ਼ਿਸ਼ ਕੀਤੀ ਪਰ ਗਾਂ ਨੇ ਹਮਲਾ ਕਰਨਾ ਜਾਰੀ ਰੱਖਿਆ।,"A cow attacked a little girl returning home from school in the street. Meanwhile, people tried their best to drive away the cow by pelting stones, but the cow continued to attack.",FALSE,
26,ਬਾਇਓਫਲੇਵੋਨੋਇਡਸ ਵਿੱਚ ਐਂਟੀਆਕਸੀਡੈਂਟ ਗੁਣ ਪਾਏ ਜਾਂਦੇ ਹਨ। ਇਸ ਦਾ ਮਤਲਬ ਹੈ ਕਿ ਉਹ ਹਾਨੀਕਾਰਕ ਅਣੂਆਂ ਜਿਵੇਂ ਕਿ ਫ੍ਰੀ ਰੈਡੀਕਲਸ ਦੁਆਰਾ ਹੋਣ ਵਾਲੇ ਨੁਕਸਾਨ ਤੋਂ ਬਚਾਉਣ ਵਿੱਚ ਮਦਦ ਕਰਦੇ ਹਨ।,Bioflavonoids are found to have antioxidant properties. This means they help protect against damage caused by harmful molecules such as free radicals.,FALSE,
27,"ਏਸ਼ੀਆਈ ਖੇਡਾਂ ਵਿੱਚ ਭਾਰਤ ਦੀਆਂ ਉਮੀਦਾਂ ਨੂੰ ਵੱਡਾ ਝਟਕਾ ਲੱਗਿਆ ਹੈ। ਦਰਅਸਲ, ਭਾਰਤੀ ਪਹਿਲਵਾਨ ਵਿਨੇਸ਼ ਫੋਗਾਟ ਏਸ਼ੀਆਈ ਖੇਡਾਂ ਦਾ ਹਿੱਸਾ ਨਹੀਂ ਹੋਵੇਗੀ। ਦੱਸ ਦਈਏ ਕਿ ਐਤਵਾਰ ਨੂੰ ਵਿਨੇਸ਼ ਫੋਗਾਟ ਦੇ ਸੱਟ ਲੱਗ ਗਈ ਸੀ।","India's hopes have suffered a major setback in the Asian Games. In fact, Indian wrestler Vinesh Phogat will not be a part of the Asian Games. Let it be said that Vinesh Phogat was injured on Sunday.",FALSE,
