s.no,Text in Hindi,Text in English,Is Correct,Comment
11,ट्रैविस किंग उत्तर और दक्षिण कोरिया के बीच की सीमा संयुक्त सुरक्षा क्षेत्र  के अपने दौरे को दौरान उत्तर कोरिया में दाखिल हुआ था। अमेरिकी अधिकारियों ने कहा कि सैनिक ने जानबूझकर सीमा पार की और उसे युद्ध बंदी के रूप में वर्गीकृत करने से इनकार कर दिया।,"Travis King entered North Korea during his visit to the Joint Security Area, the border between North and South Korea. US officials said the soldier intentionally crossed the border and refused to classify him as a prisoner of war.",TRUE,
12,"बॉलीवुड एक्ट्रेस सुष्मिता सेन इन दिनों अपनी नई वेब सीरीज 'ताली' लेकर सुर्खियों में बनी हुई हैं। क्राइम थ्रिलर शो 'आर्या' में अपनी दमदार वापसी के बाद सुष्मिता 'ताली' में ट्रांसजेंडर कार्यकर्ता श्रीगौरी सावंत की भूमिका निभा रही हैं। 
","Bollywood actress Sushmita Sen is in headlines these days for her new web series 'Tali'. After making a strong comeback in the crime thriller show 'Aarya', Sushmita will be seen playing the role of transgender activist Shree Gauri Sawant in 'Taali'.",TRUE,
13,एआई के जमाने में आपका लगातार अपग्रेड रहना काफी जरूरी है क्योंकि एआई का क्षेत्र काफी तेजी से डेवलप हो रहा है। ऐसे में एआई से जुड़े जो नई तकनीकें आ रही हैं। उससे आपको अपडेट रहना चाहिए। ,"In the era of AI, it is very important for you to be constantly upgraded because the field of AI is developing very fast. In such a situation, the new technologies related to AI are coming. You should stay updated with that.",TRUE,
14,"अगस्त का महीना चल रहा है। इस महीने में कभी तो तेज धूप निकल रही है, कभी तेज बारिश हो रही है। बारिश के बाद होने वाली उमस की वजह से लोगों को काफी परेशानी हो रही है। इस परेशानी का सीधा असर लोगों की त्वचा पर दिखाई दे रहा है। बदलते मौसम की वजह से ही त्वचा पर रूखापन नजर आने लगा है। ","The month of August is going on. In this month, sometimes there is strong sunshine, sometimes it is raining heavily. Due to the humidity after the rains, people are facing a lot of trouble. The direct effect of this problem is visible on the skin of the people. Due to the changing weather, dryness has started appearing on the skin.",TRUE,
15,"एसएससी जेई (सिविल, मैकेनिकल और इलेक्ट्रिकल) के पदों पर भर्ती के लिए आवेदन की प्रक्रिया 26 जुलाई, 2023 से चल रही है। ","The process of application for recruitment to the posts of SSC JE (Civil, Mechanical and Electrical) is going on from July 26, 2023.",TRUE,
16,इस साल अक्टूबर-नवंबर में होने वाले वनडे वर्ल्ड कप 2023 के दौरान भारत और पाकिस्तान के बीच महामुकाबला होने वाला है. यह मैच 15 की बजाए एक दिन पहले यानी 14 अक्टूबर को अहमदाबाद के नरेंद्र मोदी स्टेडियम में खेला जाएगा. ,"During the ODI World Cup 2023 to be held in October-November this year, there is going to be a big match between India and Pakistan. Instead of 15, this match will be played a day earlier i.e. on October 14 at the Narendra Modi Stadium in Ahmedabad.",TRUE,
17,वेस्टइंडीज दौरे के बाद अब भारतीय टीम को वर्ल्ड कप 2023 से पहले एशिया कप और ऑस्ट्रेलिया के खिलाफ वनडे सीरीज खेलना है. मगर अब तक टीम इंडिया को नंबर-4 पोजिशन के लिए परफेक्ट बल्लेबाज नहीं मिल सका. मगर टी20 में धमाकेदार प्रदर्शन करने वाले तिलक वर्मा ने टीम मैनेजमेंट को एक शानदार ऑप्शन दिया है,"After the West Indies tour, the Indian team now has to play the Asia Cup and the ODI series against Australia before the 2023 World Cup. But till now Team India could not find the perfect batsman for number-4 position. But Tilak Verma, who performed well in T20, has given a great option to the team management.",TRUE,
18,"भारतीय टीम को अब आयरलैंड के खिलाफ उसी के घर में तीन मैचों की टी20 सीरीज खेलना है. इसकी लिए टीम वहां पहुंच भी गई है. यह तीनों मैच 18, 20 और 23 अगस्त  को डबलिन में होंगे. ये भारत की आयररिश टीम के खिलाफ तीसरी द्विपक्षीय टी20 सीरीज हैं. अभी तक भारत का प्रदर्शन आयरलैंड के खिलाफ बहुत ही शानदार रहा है.
","The Indian team now has to play a three-match T20 series against Ireland at their home. For this the team has also reached there. All these three matches will be held in Dublin on 18, 20 and 23 August. This is India's third bilateral T20 series against the Irish team. So far India's performance against Ireland has been excellent.",TRUE,
19,"ब्राजील के सुपरस्टार फुटबॉल खिलाड़ी नेमार जूनियर का सऊदी अरब के फुटबॉल क्लब अल हिलाल के साथ जुड़ने का आधिकारिक एलान 15 अगस्त को कर दिया गया. इससे पहले नेमार पेरिस सेंट-जर्मेन से खेल रहे थे.
","The official announcement of Brazilian superstar football player Neymar Jr's association with Saudi Arabia's football club Al Hilal was made on 15 August. Earlier, Neymar was playing with Paris Saint-Germain.",TRUE,
20,"आयुर्वेदिक जड़ी बूटियों के सही संयोजन से कब्ज, गैस, अपच और डकार जैसी लंबे समय तक चलने वाली पेट संबंधी समस्याओं से काफी हद तक राहत मिल सकती है।","The right combination of Ayurvedic herbs can provide relief from long-standing stomach related problems like constipation, gas, indigestion and belching to a great extent.",TRUE,
21,"इंग्लैंड के ऑलराउंडर क्रिस वोक्स को आईसीसी मेंस प्लेयर ऑफ द मंथ चुना गया है. वहीं, ऑस्ट्रेलिया की एश्ले गार्डेनर को आईसीसी वीमेंस प्लेयर ऑफ द मंथ से नवाजा गया है.","England all-rounder Chris Woakes has been selected as the ICC Men's Player of the Month. At the same time, Australia's Ashley Gardener has been awarded the ICC Women's Player of the Month.",TRUE,
22,एशियन गेम्स 2023 से पहले भारत के लिए एक बुरी खबर सामने आई है. स्टार महिला रेसलर विनेश फोगाट चोटिल हो गई हैं और इसी कारण एशियन गेम्स से बाहर हो गई हैं.,"Before the Asian Games 2023, a bad news has come out for India. Star female wrestler Vinesh Phogat has been injured and that is why she is out of the Asian Games.",TRUE,
23,"फुटबॉल ख‍िलाड़‍ियों संग एक शर्मनाक घटना सामने आई है. दरअसल, टीम बस देरी से पहुंची तो ख‍िलाड़ी रिक्शे से स्टेडियम में पहुंचे. अब इस मामले में ईस्ट बंगाल फुटबॉल क्लब से जुड़े आला अध‍िकारियों ने नाराजगी जताई है. ","A shameful incident has come to light with football players. Actually, when the team bus reached late, the players reached the stadium by rickshaw. Now the top officials associated with the East Bengal Football Club have expressed their displeasure in this matter.",TRUE,
24,न्यूजीलैंड के कप्तान केन विलियमसन आज (8 अगस्त) अपना 33वां बर्थडे सेलिब्रेट कर रहे हैं. विलियमसन को आधुनिक दौर के सर्वश्रेष्ठ बल्लेबाजों में से एक माना जाता है. टी20 क्रिकेट के इस युग में जहां ज्यादातर बल्लेबाज नए-नए शॉट्स ईजाद करते हैं. इसके विपरीत विलियमसन ने अपनी कॉपी बुक  वाली बैटिंग शैली मे कोई बदलाव नहीं किया. उन्हें अपने तकनीक पर हमेशा भरोसा रहता है.,"New Zealand captain Kane Williamson is celebrating his 33rd birthday today (8 August). Williamson is considered one of the best batsmen of the modern era. In this era of T20 cricket where most of the batsmen invent new shots. In contrast, Williamson did not change his copy book batting style. He always has faith in his technique.",TRUE,
25,"सोशल मीडिया पर एक भयानक वीडियो वायरल हो रहा है. यूं तो आपने मगरमच्छ को पानी के अंदर से निकलते देखा होगा, लेकिन इस वीडियो में आप मगरमच्छ को जमीन के अंदर से निकलते हुए देखेंगे.","A horrifying video is going viral on social media. Although you must have seen the crocodile coming out from inside the water, but in this video you will see the crocodile coming out from inside the ground.",TRUE,
26,मार्केटा वोंड्रोसोवा ने विम्बलडन 2023 चैम्पियनशिप में वूमेन्स सिंगल्स का खिताब जीत लिया है.,Marketa Vondrousova has won the Women's Singles title at the Wimbledon 2023 Championship.,TRUE,
27,साग सब्जियों की कीमतें खासतौर से महंगे टमाटर के चलते खाद्य महंगाई दर जुलाई 2023 में 11.51 फीसदी पर जा पहुंची है. अब सरकार ने आम लोगों को राहत देने के लिए 50 रुपये प्रति किलो में टमाटर बेचने का फैसला किया है. 15 अगस्त 2023 से स्वतंत्रता दिवस के शुभ अवसर पर सरकार ने 50 रुपये प्रति किलो में टमाटर बेचने का फैसला किया है. डिपार्टमेंट ऑफ कंज्यूमर अफेयर्स ने एनसीसीएफ  और नेफेड को 50 रुपये प्रति किलो में टमाटर बेचने के निर्देश दिये हैं.  ,"The food inflation rate has reached 11.51 percent in July 2023 due to the prices of vegetables, especially expensive tomatoes. Now the government has decided to sell tomatoes at Rs 50 per kg to give relief to the common people. From August 15, 2023, on the auspicious occasion of Independence Day, the government has decided to sell tomatoes at Rs 50 per kg. The Department of Consumer Affairs has instructed NCCF and Nafed to sell tomatoes at Rs 50 per kg.",TRUE,
28,बीजेपी विधायक बसनगौड़ा पाटिल यतनाल ने दावा किया है कि कर्नाटक में कांग्रेस की सरकार अगले साल होने वाले लोकसभा चुनाव से पहले गिर जाएगी.,BJP MLA Basangouda Patil Yatnal has claimed that the Congress government in Karnataka will fall before the next year's Lok Sabha elections.,TRUE,
29,पहले एनसीसीएफ और नेफेड ने 90 रुपये किलो में टमाटर बेचना शुरू किया फिर 16 जुलाई 2023 से कीमतों को घटाकर 80 रुपये प्रति किलो कर दिया गया. 20 जुलाई से कीमतें घटाकर 70 रुपये किया गया. और अब स्वतंत्रता दिवस से 50 रुपये प्रति किलो में टमाटर बेचा जाएगा. ,"First NCCF and Nafed started selling tomatoes at Rs 90 per kg, then from July 16, 2023 the prices were reduced to Rs 80 per kg. From July 20, the prices were reduced to Rs 70. And now tomatoes will be sold at Rs 50 per kg from Independence Day.",TRUE,
30,पानी की समस्या से जूझ रहे सीकर शहर के वार्ड नंबर 50 स्थित राधाकिशनपुरा इलाके के लोगों को राज्य सरकार की ओर से एक ट्यूबवेल की स्वीकृति मिलने से पानी की समस्या से राहत मिली तो वही ट्यूबेल को अपने इलाके में लगाने की मांग को लेकर मोहल्ले के अलग-अलग इलाके के लोगों में खींचतान भी शुरू हो गई. ,"The people of Radhakishanpura area, located in Ward No. 50 of Sikar city, who are facing water problems, got relief from the water problem due to the approval of a tubewell from the state government, while the demand to install the tubewell in their area is different from that of the locality. The tussle also started between the people of different areas.",FALSE,
31,"डूंगरपुर जिले में वार्ड नंबर 2 के नवाडेरा क्षेत्र की महिलाएं आज कलेक्ट्रेट पहुंची. जहां पर वार्ड में पिछले 2 माह से पीने के पानी की समस्या से परेशान होकर महिलाओं ने प्रदर्शन किया, पार्षद डायालाल पटेल के नेतृत्व में नवाडेरा क्षेत्र की महिलाएं आज कलेक्ट्रेट पहुंची.","Women of Navadera area of ​​ward number 2 in Dungarpur district reached the collectorate today. Troubled by the problem of drinking water in the ward for the last two months, where the women protested, under the leadership of councilor Dayalal Patel, the women of Navadera area reached the collectorate today.",FALSE,
32,"सोनीपत में CLC नहर के कटाव के बाद निर्माण कार्य पूरा कर दिया गया है और दोपहर बाद सीएलसी नहर में दोबारा पानी सुचारू कर दिया जाएगा. इस कार्य के खत्म होने के बाद दिल्ली को एक बार फिर से राहत मिलेगी, क्योंकि दिल्ली में पानी की किल्लत को लेकर परेशानी बढ़ती हुई नजर आ रही थी.","After the erosion of CLC canal in Sonepat, the construction work has been completed and water will be made smooth again in CLC canal after noon. After the completion of this work, Delhi will get relief once again, because the problem of water shortage in Delhi was increasing.",FALSE,
33,जोधपुर जिले के बालेसर क्षेत्र के सोमेसर ग्राम पंचायत में पिछले एक माह से जलापूर्ति नही होने से परेशान ग्रामीणों का आज आक्रोश फुट ही गया. जलापूर्ति नहीं होने से परेशान लोग घरों से बाहर निकले पड़े और आज सड़क पर विरोध प्रदर्शन किया.,"In Somesar Gram Panchayat of Balesar area of ​​Jodhpur district, the anger of the villagers erupted today due to lack of water supply for the last one month. Troubled by the lack of water supply, people came out of their houses and protested on the road today.",FALSE,
34,"पानी की किल्लत को लेकर पुरुष और महिलाओं ने मटकियां फोड़ कर विरोध प्रदर्शन किया. साथ ही सरकार और प्रशासन से जल्द समाधान करने की मांग की. सोमेसर के पुगलिया, किशोरनगर, दासानिया, पाबूसर जाने वाली बड़ी पाइप लाइन खराब होने की वजह से सभी जगह जलापूर्ति ठप्प हो गई है. ","Men and women protested by breaking earthen pots regarding the scarcity of water. Also demanded a quick solution from the government and the administration. Water supply has stopped everywhere due to damage to the major pipeline going to Somesar's Puglia, Kishornagar, Dasania, Pabusar.",FALSE,
35,हरियाणा के मुख्यमंत्री मनोहर लाल ने प्रदेश के आखिरी छोर पर राजस्थान की सीमा से लगते महेंद्रगढ़ जिला के गांव निजामपुर सहित क्षेत्र के 9 गांवों में पानी की समस्या को दूर करने के लिए 34 करोड़ रुपये की योजना को मंजूरी देने की घोषणा की. इस योजना के तहत 5 और 4 गांव के दो ग्रुप बनाकर पानी के 10 से 12 स्टोरेज टैंक बनाए जाएंगे और पाइप के माध्यम से किसानों को पानी उपलब्ध कराया जाएगा.,"Haryana Chief Minister Manohar Lal announced the approval of Rs 34 crore scheme to solve the water problem in 9 villages of the region, including village Nizampur in Mahendragarh district, bordering Rajasthan at the end of the state. Under this scheme, 10 to 12 water storage tanks will be made by forming two groups of 5 and 4 villages and water will be made available to the farmers through pipes.",FALSE,
36,सोनीपत में ई-टॉयलेट के हालात बदतर हो गए है. उनमें बाथरूम करना तो दूर कोई उनके पास ने निकल भी नहीं सकता. वहीं मेयर ने कहा है कि जहां जरूरत नहीं है वहां से टॉयलेट हटाए जाएंगे.,"The condition of e-toilets has become worse in Sonepat. Taking a bath in them, no one can even go near them. At the same time, the mayor has said that toilets will be removed from where they are not needed.",FALSE,
37,दिल्ली के इस इलाके लोग सालों से पीने के पानी की समस्या से परेशान है और नरकीया जीवन जीने को मजबूर है. दिल्ली में भीषण गर्मी के बीच अलग-अलग इलाकों में लोगों को पानी की समस्या से जूझना पड़ रहा है. ,"People in this area of ​​Delhi are troubled by the problem of drinking water for years and are forced to live a hellish life. Amidst the scorching heat in Delhi, people are facing the problem of water in different areas.",FALSE,
38,झारखंड राज्य बने करीब 23 वर्ष हो गया है. लेकिन झारखंड के जामताड़ा में नारायणपुर प्रखंड के छाताबाद गांव के कोचवा टोला के लोग आज भी विकास से कोसो दूर खड़ा है. गांव के इस टोला तक आने-जाने के लिए ना तो एक अच्छी सड़क है और ना ही पीने के लिए पेयजल की समुचित व्यवस्था है.,It has been almost 23 years since Jharkhand became a state. But the people of Kochwa Tola of Chattabad village of Narayanpur block in Jamtara of Jharkhand are still far away from development. There is neither a good road nor proper arrangement for drinking water to reach this tola of the village.,FALSE,
39,पूरी दुनिया के सामने स्वच्छ जल का संकट बढ़ता जा रहा है. इस बीच अमेरिका की यूएस एजेंसी फ़ॉर इंटरनेशनल डेवलेपमेंट भारत में 2300 Water ATM लगाने जा रही है. ,"The crisis of clean water is increasing in front of the whole world. Meanwhile, America's US Agency for International Development is going to install 2300 Water ATMs in India.",FALSE,
40,मूलभूत सुविधाएं उपलब्ध करवाने के सरकार और प्रशासन के दावे खोखले साबित हो रहे हैं. जनता की शिकायतों पर न तो प्रशासन सुनवाई करता है और न ही सियासतदान. हालात यह है कि पेयजल को स्वच्छ करने वाले आरओ भी 10 दिन में ही दम तोड़ रहे हैं. घरों में सीवरयुक्त काला पानी सप्लाई हो रही है.,The claims of the government and the administration of providing basic facilities are proving to be hollow. Neither the administration nor the political donation listens to the complaints of the public. The situation is that even the ROs that purify the drinking water are dying within 10 days. Black water containing sewer is being supplied in the houses.,FALSE,
41,देश की सबसे बड़ी बीमा कंपनी जीवन बीमा निगम के शेयर की स्‍टॉक मार्केट में एंट्री हो गई है. देश का सबसे बड़ा आईपीओ BSE और NSE पर 8 से 9 फीसदी के डिस्काउंट पर लिस्ट हुए.,The shares of the country's largest insurance company Life Insurance Corporation have entered the stock market. The country's biggest IPO was listed on BSE and NSE at a discount of 8 to 9 percent.,FALSE,
42,"ब्रिटेन के प्रधानमंत्री ऋषि सुनक सोशल मीडिया की सुर्खियां बने हुए हैं. दरअसल, कैंब्रिज में चल रही मोरारी बापू की रामकथा में पहुंचे ऋषि सुनक ने भारतीय समुदाय के लोगों के दिल जीत लिए. उन्होंने रामकथा में व्यास पीठ की आरती उतारी. खास बात रही कि ऋषि सुनक ने अपने संबोधन की शुरुआत जय सिया राम कहकर की.","Britain's Prime Minister Rishi Sunak has become the headlines of social media. Actually, Rishi Sunak, who reached Morari Bapu's Ramkatha going on in Cambridge, won the hearts of the people of the Indian community. He performed the aarti of Vyas Peeth in Ramkatha. The special thing is that Rishi Sunak started his address by saying Jai Siya Ram.",FALSE,
43,2024 के चुनाव से पहले और दूसरे कार्यकाल के आखिरी स्वतंत्रता दिवस पर लालकिले से दसवीं बार तिरंगा फहराने नरेंद्र मोदी पहुंचे. पीएम मोदी ने 90 मिनट का भाषण दिया. फिर अगले एक घंटे के भीतर विपक्ष उन्हें ग्यारहवीं बार लालकिले तक जाने से रोकने के के दावे करने लगा.,"Before the 2024 elections and on the last Independence Day of the second term, Narendra Modi reached the Red Fort to hoist the tricolor for the tenth time. PM Modi gave a speech of 90 minutes. Then, within the next hour, the opposition started making claims to prevent him from reaching the Red Fort for the eleventh time.",FALSE,
44,"देश जानता है कि अभी 2023 चल रहा है, लेकिन प्रधानमंत्री मोदी ने अपने भाषण में 3023 तक की यानी 1000 साल आगे की बात कर दी. प्रधानमंत्री ने भरोसे के साथ आज लालकिले से कहा कि अगली बार मैं ही आऊंगा. लेकिन विपक्ष का कहना है कि प्रधानमंत्री तिरंगा अगले साल फहराएंगे तो लेकिन अपने घर में. इसीलिए 90 मिनट के  प्रधानमंत्री के भाषण की उस व्यूह रचना को समझते हैं, जिसमें 2024 का सपना है, 2047 का लक्ष्य है और 3023 तक की बात है.  ","The country knows that 2023 is going on right now, but Prime Minister Modi talked about 1000 years ahead till 3023 in his speech. The Prime Minister confidently told the Red Fort today that he will come next time. But the opposition says that the Prime Minister will hoist the tricolor next year, but at home. That's why let's understand the strategy of the Prime Minister's speech of 90 minutes, in which there is a dream of 2024, a target of 2047 and talk till 3023.",FALSE,
45,कानून में एक नाबालिग की तस्करी के लिए आजीवन कारावास और जुर्माने का भी प्रविधान है लेकिन सच यह है कि दर्ज किए गए मामलों में 10 प्रतिशत से भी कम मामलों में सजा हो पाती है। यही वजह है कि कानूनों की शिथिलता और मुकदमों की पैरवी ठीक से न होने के कारण तस्करी को बल मिलता है। बाल तस्करी में सबसे अधिक बच्चों का बचपन घायल होता है।,"The law also provides for life imprisonment and fine for trafficking of a minor but the fact is that less than 10 per cent of the cases registered result in conviction. This is the reason that due to laxity of laws and lack of proper prosecution of cases, smuggling gets strengthened. The childhood of most children is injured in child trafficking.",FALSE,
46,किसी देश के लिए बच्चे उसकी सबसे बड़ी पूंजी होते हैं। बच्चे ही देश का भविष्य तय करते हैं। इसलिए उनका संरक्षण राष्ट्र के लिए सर्वोपरि होना चाहिए। आज जब अमृतकाल में हम 77वां स्वतंत्रता दिवस मना रहे हैं तो भावी पीढ़ी के विषय में गंभीरता से सोचना बहुत समीचीन है।,"For a country, children are its biggest capital. Children decide the future of the country. Therefore their protection should be paramount for the nation. Today, when we are celebrating 77th Independence Day in Amritkal, it is very appropriate to think seriously about the future generation.",FALSE,
47,बोकारो जिले के बालीडीह थाना क्षेत्र स्थित केबिन टोला में श्रवण कुमार दास नाम के युवक को भीड़ ने पीट-पीटकर अधमरा कर दिया। युवक पर आरोप है कि उसने पड़ोस में रहने वाले युवक की हत्या कर उसका शव तलाब में फेंक दिया था। आरोपित युवक को भीड़ से बचाने के लिए प्रशासन को चार घंटे कड़ी मशक्कत करनी पड़ी।,A youth named Shravan Kumar Das was beaten to death by a mob in Cabin Tola located in Balidih police station area of ​​Bokaro district. The young man is accused of killing a young man living in the neighborhood and throwing his dead body into the pond. The administration had to struggle hard for four hours to save the accused youth from the mob.,FALSE,
48," एशिया कप से ठीक पहले पाकिस्तान के तेज गेंदबाज वहाब रियाज ने संन्यास का ऐलान कर दिया है। भारतीय टीम को परेशान करने वाला यह गेंदबाज एक ओवर में 6 छक्के भी चुका है। 2011 वर्ल्ड कप के सेमीफाइनल में वहाब ने सहवाग, कोहली, युवराज और धोनी जैसे धुरंधर का विकेट लिया था।","Pakistan's fast bowler Wahab Riaz has announced his retirement just before the Asia Cup. This bowler who troubled the Indian team has also hit 6 sixes in an over. In the semi-finals of the 2011 World Cup, Wahab took wickets of stalwarts like Sehwag, Kohli, Yuvraj and Dhoni.",FALSE,
49,"मुंबई में रेप की कोशिश में नाकाम रहने पर छात्रा को जान से मार देने की कोशिश का मामला सामने आया है। बिहार का रहने वाला फेसबुक फ्रेंड दोस्ती के बाद शादी का ऑफर लेकर पहुंचा था, जिसके बाद छात्रा के घर वालों ने उसे रहने की इजाजत दे दी थी।","In Mumbai, a case of attempt to kill a girl student has come to light after failing in the rape attempt. A Facebook friend from Bihar had arrived with a marriage offer after friendship, after which the girl's family allowed her to stay.",FALSE,
50,"iPhone 15 के प्रॉडक्शन शुरू होने की खबर तब आई है जब ऐपल ने फॉक्सकॉन के साथ ही मिलकर Apple Airpods बनाने को लेकर भी डील की है.सूत्रों के हवाले से खबर मिली है कि फॉक्सकॉन ने हैदराबाद संयंत्र के लिए 40 करोड़ डॉलर के निवेश को मंजूरी दे दी है. दिसंबर 2024 तक यहां बड़े पैमाने पर उत्पादन शुरू होने की उम्मीद है. एक सूत्र ने कहा, ‘‘ फॉक्सकॉन की हैदराबाद फैक्टरी में एयरपॉड बनाए जाएंगे. दिसंबर तक फैक्टरी में बड़े पैमाने पर उत्पादन शुरू होने की उम्मीद है.’’","The news of the start of production of iPhone 15 has come when Apple has also made a deal with Foxconn to make Apple Airpods. It has been reported from sources that Foxconn has approved an investment of $ 400 million for the Hyderabad plant. has given. Mass production is expected to start here by December 2024. A source said, “Airpods will be made at Foxconn’s Hyderabad factory. The factory is expected to start mass production by December.",FALSE,
51,"प्रधानमंत्री मोदी ने अपने बयान में कहा था - “बेहतर स्वास्थ्य सुविधाओं के लिए असम के गुवाहाटी से लेकर पश्चिम बंगाल के कल्याणी तक, झारखंड के देवघर से लेकर बिहार में दरभंगा तक इस प्लानिंग के साथ नए-नए एम्स खोले गए हैं ताकि लोगों को इलाज के लिए सैकड़ों किलोमीटर दूर न जाना पड़े.”","Prime Minister Modi had said in his statement - “For better health facilities, from Guwahati in Assam to Kalyani in West Bengal, from Deoghar in Jharkhand to Darbhanga in Bihar, new AIIMS have been opened with this planning so that people can get treatment. You don't have to go hundreds of kilometers for this.",FALSE,
52,केरल 11वीं और 12वीं क्लास के स्टूडेंट्स के लिए सप्लीमेंट्री टेक्स्टबुक जारी करने जा रहा है.,Kerala is going to issue supplementary textbooks for the students of class 11th and 12th.,FALSE,
53,"पिछले 13 हफ़्तों से मणिपुर में बेलगाम हिंसा का राजनीतिक असर देश के बाक़ी हिस्सों में क्या होगा, इसका आकलन अभी किया जाना बाक़ी है.",What will be the political impact of the unbridled violence in Manipur for the last 13 weeks in the rest of the country is yet to be assessed.,FALSE,
54,"अंग्रेज़ी अख़बार इंडियन एक्सप्रेस की ख़बर के अनुसार, भारत के अहम मुस्लिम संगठन जमीयत-उलेमा-ए-हिन्द ने मंगलवार को आंध्र प्रदेश वक़्फ बोर्ड के एक प्रस्ताव का समर्थन किया है.","According to the news of English newspaper Indian Express, India's important Muslim organization Jamiat-Ulema-e-Hind has supported a proposal of Andhra Pradesh Waqf Board on Tuesday.",FALSE,
55,"21 जुलाई को अल्पसंख्यक मंत्रालय ने आंध्र प्रदेश की सरकार को एक कड़ा पत्र भेजा था, जिसमें लिखा था कि आंध्र प्रदेश वक़्फ बोर्ड का प्रस्ताव नफ़रत फैलाने का अभियान है और इससे देश भर में विभाजन बढ़ेगा. ","On July 21, the Ministry of Minorities had sent a strong letter to the Andhra Pradesh government, stating that the Andhra Pradesh Waqf Board proposal was a campaign of hatred and would lead to divisiveness across the country.",FALSE,
56,"पिछले दिनों केंद्रीय गृह मंत्री अमित शाह ने संसद में अपने भाषण के दौरान दावा किया था कि अगर श्यामा प्रसाद मुखर्जी नहीं होते, तो बंगाल भारत का हिस्सा नहीं होता.","Recently, Union Home Minister Amit Shah, during his speech in Parliament, had claimed that if Syama Prasad Mookerjee had not been there, Bengal would not have been a part of India.",FALSE,
